num = 1091,  ebn0s = 1.8 , errorblock = 10totalerror1 = 2307 totalerror2 = 0 
num = 1941,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1942,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1943,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1944,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1945,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1946,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1947,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1948,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1949,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1950,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1951,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1952,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1953,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1954,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1955,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1956,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1957,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1958,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1959,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1960,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1961,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1962,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1963,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1964,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1965,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1966,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1967,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1968,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1969,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1970,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1971,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1972,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1973,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1974,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1975,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1976,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1977,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1978,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1979,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1980,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1981,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1982,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1983,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1984,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1985,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1986,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 7345,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7346,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7347,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7348,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7349,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7350,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7351,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7352,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7353,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7354,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7355,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7356,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7357,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7358,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7359,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7360,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7361,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7362,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7363,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7364,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7365,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7366,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7367,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7368,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7369,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7370,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7371,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7372,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7373,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7374,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7375,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7376,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7377,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7378,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7379,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7380,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
num = 7381,  ebn0s = 1.8 , errorblock = 50totalerror1 = 12310 totalerror2 = 0 
