num = 1991,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2041,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2042,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2043,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2044,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2045,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2046,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2047,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2048,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2049,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2050,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2051,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2052,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2053,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2054,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2055,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2056,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2057,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2058,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2059,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2060,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2061,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2062,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2063,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2064,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2065,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2066,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2067,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2068,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2069,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2070,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2071,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2072,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2073,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2074,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2075,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2076,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2077,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2078,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2079,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2080,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2081,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2082,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2083,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2084,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2085,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2086,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2087,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2088,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2089,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2090,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2091,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2092,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2093,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2094,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2095,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2096,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2097,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2098,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2099,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2100,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2101,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2102,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2103,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2104,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2105,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2106,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2107,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2108,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2109,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2110,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2111,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2112,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2113,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2114,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2115,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2116,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2117,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2118,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2119,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2120,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2121,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2122,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2123,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2124,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2125,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2126,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2127,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2128,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2129,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2130,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2131,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2132,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2133,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2134,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2135,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2136,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2137,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2138,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2139,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2140,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2141,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2142,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2143,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2144,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2145,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2146,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2147,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2148,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2149,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2150,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2151,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2152,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2153,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2154,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2155,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2156,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2157,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2158,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2159,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2160,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2161,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2162,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2163,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2164,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2165,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2166,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2167,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2168,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2169,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2170,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2171,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2172,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2173,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2174,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2175,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2176,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2177,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2178,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2179,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2180,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2181,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2182,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2183,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2184,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2185,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2186,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2187,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2188,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2189,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2190,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2191,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2192,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2193,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2194,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2195,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2196,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2197,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2198,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2199,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2200,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2201,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2202,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2203,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2204,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2205,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2206,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2207,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2208,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2209,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2210,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2211,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2212,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2213,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2214,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2215,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2216,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2217,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2218,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2219,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2220,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2221,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2222,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2223,  ebn0s = 1.8 , errorblock = 10totalerror1 = 1552 totalerror2 = 0 
num = 2968,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2969,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2970,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2971,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2972,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2973,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2974,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2975,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2976,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2977,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2978,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2979,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2980,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2981,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2982,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2983,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2984,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2985,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2986,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2987,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2988,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2989,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2990,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2991,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2992,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2993,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2994,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2995,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2996,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2997,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2998,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 2999,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3000,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3001,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3002,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3003,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3004,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3005,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3006,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3007,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3008,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3009,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3010,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3011,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3012,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3013,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3014,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3015,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3016,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3017,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3018,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3019,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3020,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3021,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3022,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3023,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
num = 3024,  ebn0s = 1.8 , errorblock = 20totalerror1 = 4103 totalerror2 = 0 
